Raw Median,Discount,Scenario,2024 to 2034,2024 to 2034,2024 to 2034,2024 to 2034,2024 to 2044,2024 to 2044,2024 to 2044,2024 to 2044,2034 to 2044,2034 to 2044,2034 to 2044,2034 to 2044,All,All,All,All
True,0%,Aus then UK mandatory,0 to 40,All,All,1.9959677428488132,0 to 40,All,All,8.332823404240727,0 to 40,All,All,6.307390587306917,0 to 40,All,All,18.6723473071438
True,0%,Australia 50%,0 to 40,All,All,0.7362933338059188,0 to 40,All,All,2.4630434726544026,0 to 40,All,All,1.7245730276106,0 to 40,All,All,5.197640233163599
True,0%,Australia 70%,0 to 40,All,All,1.0318974467468858,0 to 40,All,All,3.4351864664701823,0 to 40,All,All,2.4117727813156247,0 to 40,All,All,7.280512349744853
True,0%,Australia 90%,0 to 40,All,All,1.3320579261198044,0 to 40,All,All,4.454211476183712,0 to 40,All,All,3.123762824392259,0 to 40,All,All,9.42043652923736
True,0%,Australia mandatory,0 to 40,All,All,1.464440789233446,0 to 40,All,All,4.904221682812274,0 to 40,All,All,3.4414972031305435,0 to 40,All,All,10.353884825876326
True,0%,BAU,0 to 40,All,All,2107640.350501197,0 to 40,All,All,4097498.0215542857,0 to 40,All,All,1989857.671053089,0 to 40,All,All,7485889.259897992
True,0%,KCl subsitute (10%) all foods,0 to 40,All,All,1.0916168847655654,0 to 40,All,All,9.340327627023758,0 to 40,All,All,8.240274518367649,0 to 40,All,All,25.891481482022364
True,0%,KCl subsitute (30%) envelope,0 to 40,All,All,19.704046542618457,0 to 40,All,All,50.249313923254974,0 to 40,All,All,30.53376710239667,0 to 40,All,All,98.21809915979055
True,0%,KCl subsitute (4.5%) discretionary,0 to 40,All,All,1.7762587127895355,0 to 40,All,All,6.729614648174644,0 to 40,All,All,4.947029872128248,0 to 40,All,All,14.654705224308998
True,0%,No change,0 to 40,All,All,0.0,0 to 40,All,All,0.0,0 to 40,All,All,0.0,0 to 40,All,All,0.0
True,0%,UK 50%,0 to 40,All,All,1.3923437060317994,0 to 40,All,All,4.6502192282823325,0 to 40,All,All,3.2529899718748334,0 to 40,All,All,9.819056398193446
True,0%,UK 70%,0 to 40,All,All,1.9501619049246903,0 to 40,All,All,6.496792700696707,0 to 40,All,All,4.571998835401237,0 to 40,All,All,13.797274217847528
True,0%,UK 90%,0 to 40,All,All,2.512715410365343,0 to 40,All,All,8.387371170157015,0 to 40,All,All,5.888378174432755,0 to 40,All,All,17.741626593359644
True,0%,UK mandatory,0 to 40,All,All,2.7916035245686768,0 to 40,All,All,9.351238251217127,0 to 40,All,All,6.549488581070721,0 to 40,All,All,19.77126084869832
True,0%,UK mass media campaign,0 to 40,All,All,0.2231769789873361,0 to 40,All,All,0.4478483015953302,0 to 40,All,All,0.2243971308580636,0 to 40,All,All,0.4535694526191354
True,0%,UK salt reduction program,0 to 40,All,All,0.9788104362667204,0 to 40,All,All,3.2663960150099998,0 to 40,All,All,2.2891967806422717,0 to 40,All,All,7.052544293509457
True,0%,Who mandatory,0 to 40,All,All,5.51496988081181,0 to 40,All,All,18.31735374619841,0 to 40,All,All,12.803347550251008,0 to 40,All,All,38.808829701974105
